id,symbol,name,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h_in_currency,volatility_score,speculation_score,liquidity_score,shariah_risk_score,classification
uniswap,uni,Uniswap,3.21,2031512529,163436928.0,633561603.6037512,0.4627182462776658,0.00011471708240976718,0.21006168362403507,0.00011471708240976718,0.06309880704489736,halal_candidate
polkadot,dot,Polkadot,1.17,1965817815,217714675.0,1679315508.403046,-0.017261993227978,5.7653032684191425e-05,0.28917489964129073,5.7653032684191425e-05,0.08679282701526615,halal_candidate
near,near,NEAR Protocol,1.39,1793376699,205198788.0,1292945391.0,0.1328457720454261,7.057670215355329e-05,0.29875791853336975,7.057670215355329e-05,0.0896767792515184,halal_candidate
okb,okb,OKB,85.32,1791177712,14483808.0,21000000.0,-1.0077514887888237,0.00030671159624791084,0.021113500311040232,0.00030671159624791084,0.006548748210685608,halal_candidate
falcon-finance,usdf,Falcon USD,0.998432,1787492711,722670.0,1789931800.531696,0.0304245434346777,1.7954375123546167e-07,0.0010556304359109427,1.7954375123546167e-07,0.0003168148113991476,halal_candidate
sky,sky,Sky,0.074972,1738489314,8610097.0,23189117589.6065,-0.7873533083389074,1.651165378793127e-07,0.012931597395698225,1.651165378793127e-07,0.003879594800285983,halal_candidate
pi-network,pi,Pi Network,0.166476,1688119303,13868672.0,10142200266.49829,0.2927924216129816,6.080922209630307e-07,0.021451017520347872,6.080922209630307e-07,0.006435730920659035,halal_candidate
aster-2,aster,Aster,0.660437,1623594005,125412399.0,2458559719.12999,-2.626731999581329,2.2684356608758516e-05,0.20168759759367386,2.2684356608758516e-05,0.06052215832772829,halal_candidate
htx-dao,htx,HTX DAO,1.79e-06,1619535640,11825348.0,905707664073577.8,0.720323461325561,5.806208670284714e-12,0.019065121482233927,5.806208670284714e-12,0.005719536448734524,halal_candidate
aave,aave,Aave,105.45,1598757868,316229329.0,15164987.720859986,4.573775326710756,0.009273139806009282,0.5164587124333043,0.009273139806009282,0.1614288115941978,halal_candidate
usdd,usdd,USDD,1.0,1543512683,11049258.0,1543335560.0,0.0065010543483891,3.18375400176557e-06,0.01869128108034042,3.18375400176557e-06,0.005609612951903362,halal_candidate
pepe,pepe,Pepe,3.67e-06,1540079378,313412483.0,420690000000000.0,-1.773150778421114,3.312995560531106e-10,0.53136059058218,3.312995560531106e-10,0.15940817740656368,halal_candidate
ripple-usd,rlusd,Ripple USD,0.999987,1476850096,106785093.0,1476761837.407242,-0.0061523045845213,3.215636293604567e-05,0.1887949490119895,3.215636293604567e-05,0.056660994157652085,halal_candidate
janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,1.1,1422454884,0.0,1292789400.280565,0.0080893647576377,0.0,0.0,0.0,0.0,halal_candidate
