,precision,recall,f1-score,support
halal_candidate,0.9285714285714286,1.0,0.9629629629629629,13.0
high_risk,0.0,0.0,0.0,1.0
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
macro avg,0.4642857142857143,0.5,0.48148148148148145,14.0
weighted avg,0.8622448979591837,0.9285714285714286,0.8941798941798941,14.0
